yop_kodu,kullanilan_tercih_2022,kullanilan_tercih_2023,kullanilan_tercih_2024,bos_birakilan_tercih_2022,bos_birakilan_tercih_2023,bos_birakilan_tercih_2024,ortalama_kullanilan_tercih_2022,ortalama_kullanilan_tercih_2023,ortalama_kullanilan_tercih_2024
100711055,574.0,520.0,589.0,674.0,728.0,635.0,11.0,10.0,12.0
100711064,21.0,,16.0,3.0,,8.0,21.0,,16.0
100711082,515.0,465.0,258.0,469.0,519.0,486.0,13.0,11.0,8.0
100711091,1011.0,1110.0,1129.0,909.0,810.0,911.0,13.0,14.0,13.0
100711107,772.0,893.0,761.0,908.0,787.0,535.0,11.0,13.0,14.0
100711125,619.0,712.0,756.0,821.0,752.0,924.0,10.0,12.0,11.0
100711134,721.0,684.0,917.0,719.0,756.0,763.0,12.0,11.0,13.0
100711161,1054.0,1007.0,461.0,674.0,721.0,283.0,15.0,14.0,15.0
100711188,956.0,743.0,823.0,532.0,745.0,665.0,15.0,12.0,13.0
100711197,1121.0,992.0,1157.0,1063.0,1168.0,1123.0,12.0,11.0,12.0
100711204,788.0,841.0,669.0,700.0,647.0,819.0,13.0,14.0,11.0
100790319,838.0,773.0,575.0,602.0,667.0,385.0,14.0,13.0,14.0
100790320,1083.0,1035.0,325.0,837.0,885.0,395.0,14.0,13.0,11.0
100790323,692.0,744.0,817.0,796.0,744.0,791.0,11.0,12.0,12.0
100790327,853.0,729.0,893.0,371.0,519.0,355.0,17.0,14.0,17.0
100790329,572.0,569.0,688.0,388.0,415.0,416.0,14.0,14.0,15.0
100790413,877.0,754.0,780.0,827.0,974.0,1068.0,12.0,10.0,10.0
100790414,433.0,397.0,553.0,287.0,347.0,311.0,14.0,13.0,15.0
100790417,358.0,357.0,365.0,626.0,627.0,595.0,9.0,9.0,9.0
100790418,952.0,872.0,962.0,488.0,568.0,598.0,16.0,15.0,15.0
100790419,254.0,280.0,391.0,490.0,464.0,353.0,8.0,9.0,13.0
100790473,430.0,451.0,,770.0,773.0,,9.0,9.0,
100790475,857.0,710.0,820.0,631.0,754.0,764.0,14.0,12.0,12.0
100790478,558.0,462.0,546.0,162.0,258.0,414.0,19.0,15.0,14.0
100790530,268.0,166.0,184.0,92.0,194.0,104.0,18.0,11.0,15.0
100790531,813.0,848.0,867.0,867.0,832.0,933.0,12.0,12.0,12.0
100790539,,31.0,,,17.0,,,16.0,
100790567,868.0,754.0,735.0,836.0,950.0,1065.0,12.0,11.0,10.0
100790574,,37.0,16.0,,11.0,8.0,,19.0,16.0
100790581,,11.0,9.0,,13.0,15.0,,11.0,9.0
100790588,,10.0,24.0,,14.0,,,10.0,24.0
100790602,,,23.0,,,1.0,,,23.0
100790609,,,585.0,,,135.0,,,20.0
100810011,499.0,409.0,668.0,245.0,575.0,700.0,16.0,10.0,12.0
100810047,,,75.0,,,45.0,,,15.0
100810065,101.0,172.0,419.0,67.0,68.0,133.0,14.0,17.0,18.0
100810092,370.0,369.0,378.0,134.0,135.0,126.0,18.0,18.0,18.0
100810126,726.0,558.0,20.0,258.0,186.0,28.0,18.0,18.0,10.0
100810135,952.0,787.0,811.0,296.0,413.0,269.0,18.0,16.0,18.0
100810144,817.0,735.0,735.0,431.0,489.0,513.0,16.0,14.0,14.0
100810162,930.0,1013.0,656.0,318.0,475.0,328.0,18.0,16.0,16.0
100810171,1099.0,983.0,344.0,389.0,505.0,400.0,18.0,16.0,11.0
100810189,944.0,851.0,160.0,256.0,349.0,128.0,19.0,17.0,13.0
100810205,1436.0,1226.0,624.0,484.0,718.0,336.0,18.0,15.0,16.0
100810268,508.0,427.0,780.0,236.0,317.0,468.0,16.0,14.0,15.0
100810286,753.0,919.0,458.0,711.0,569.0,286.0,12.0,15.0,15.0
100810311,530.0,1058.0,1300.0,190.0,550.0,356.0,18.0,16.0,19.0
100810347,848.0,982.0,853.0,592.0,458.0,347.0,14.0,16.0,17.0
100810356,324.0,273.0,324.0,180.0,231.0,180.0,15.0,13.0,15.0
100810365,814.0,761.0,657.0,434.0,487.0,327.0,16.0,15.0,16.0
100810374,923.0,1008.0,1118.0,517.0,456.0,562.0,15.0,17.0,16.0
100810383,1088.0,1151.0,1198.0,400.0,337.0,410.0,18.0,19.0,18.0
100810408,882.0,894.0,1017.0,318.0,306.0,423.0,18.0,18.0,17.0
100810417,,,311.0,,,193.0,,,15.0
100810426,1392.0,1229.0,854.0,1248.0,1411.0,1114.0,13.0,11.0,10.0
100810435,909.0,871.0,780.0,579.0,617.0,708.0,15.0,14.0,13.0
100810462,648.0,727.0,773.0,312.0,233.0,331.0,16.0,18.0,17.0
100810471,1350.0,1138.0,1360.0,618.0,830.0,872.0,16.0,14.0,15.0
100810498,612.0,520.0,758.0,372.0,464.0,490.0,15.0,13.0,15.0
100810505,1754.0,1616.0,1660.0,646.0,784.0,740.0,18.0,16.0,17.0
100810514,925.0,690.0,783.0,539.0,774.0,825.0,15.0,11.0,12.0
100810523,96.0,42.0,70.0,96.0,78.0,74.0,12.0,8.0,12.0
100810532,1120.0,997.0,1095.0,368.0,491.0,513.0,18.0,16.0,16.0
100810541,2348.0,2300.0,2259.0,292.0,340.0,501.0,21.0,21.0,20.0
100890057,1136.0,1059.0,490.0,352.0,429.0,254.0,18.0,17.0,16.0
100890059,956.0,885.0,1006.0,532.0,603.0,602.0,15.0,14.0,15.0
100890060,608.0,614.0,773.0,376.0,370.0,355.0,15.0,15.0,16.0
100890063,1050.0,942.0,928.0,438.0,546.0,560.0,17.0,15.0,15.0
