yop_kodu,university,faculty,program,program_detail,city,university_type,scholarship,puan_type,kontenjan_2025,taban_2025,tavan_2025,tavan_bs_2025,tbs_2025,yerlesen_2025,has_2025
203210113,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Mühendislik ve Doğa Bilimleri Fakültesi,Gıda Mühendisliği,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,11,"368,04281","408,25613",89.089,142.690,10,True
203210519,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Sağlık Bilimleri Fakültesi,Hemşirelik,(%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,say,55,"266,82459","321,47476",240.191,469.580,55,True
203210388,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Sağlık Bilimleri Fakültesi,Hemşirelik,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,13,"377,75032","395,73348",104.108,128.199,12,True
203211466,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Sağlık Bilimleri Fakültesi,Hemşirelik,(Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,say,16,"211,83427","265,83467",475.947,1.032.219,16,True
203210749,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Hukuk Fakültesi,Hukuk,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,ea,125,"368,86671","414,20724",17.034,79.308,125,True
203210731,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Hukuk Fakültesi,Hukuk,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,27,"414,60786","440,34326",5.035,16.748,24,True
203211487,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Hukuk Fakültesi,Hukuk,(Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,ea,19,"350,27535","367,33266",82.481,124.591,10,True
203210273,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Mühendislik ve Doğa Bilimleri Fakültesi,Mimarlık,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,say,10,"333,62418","375,14954",131.979,209.156,10,True
203210264,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Mühendislik ve Doğa Bilimleri Fakültesi,Mimarlık,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,11,"383,87934","401,70077",96.872,119.687,11,True
203211300,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Mühendislik ve Doğa Bilimleri Fakültesi,Moleküler Biyoloji ve Genetik,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,say,36,"219,45933","366,29873",145.371,941.522,31,True
203211299,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Mühendislik ve Doğa Bilimleri Fakültesi,Moleküler Biyoloji ve Genetik,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,8,"375,04914","400,13271",98.831,132.119,7,True
